Entity,Type,Year,Population
Total Population,grey,2011,215814
Total Population,grey,2012,219231
Total Population,grey,2013,213034
Total Population,grey,2014,225834
Total Population,grey,2015,233373
Total Population,grey,2016,212253
Total Population,grey,2017,235705
Total Population,grey,2018,233248
Total Population,grey,2019,231469
Total Population,grey,2021,248024
Male,#cc6666,2011,104670
Male,#cc6666,2012,105231
Male,#cc6666,2013,101617
Male,#cc6666,2014,106819
Male,#cc6666,2015,110852
Male,#cc6666,2016,98061
Male,#cc6666,2017,111017
Male,#cc6666,2018,111493
Male,#cc6666,2019,107170
Male,#cc6666,2021,118803
Female,#cc6666,2011,111144
Female,#cc6666,2012,114000
Female,#cc6666,2013,111417
Female,#cc6666,2014,119015
Female,#cc6666,2015,122521
Female,#cc6666,2016,114192
Female,#cc6666,2017,124688
Female,#cc6666,2018,121755
Female,#cc6666,2019,124299
Female,#cc6666,2021,129221
Under 5 years,#cccc33,2011,432
Under 5 years,#cccc33,2012,0
Under 5 years,#cccc33,2013,0
Under 5 years,#cccc33,2014,452
Under 5 years,#cccc33,2015,933
Under 5 years,#cccc33,2016,637
Under 5 years,#cccc33,2017,471
Under 5 years,#cccc33,2018,700
Under 5 years,#cccc33,2019,463
Under 5 years,#cccc33,2021,496
5 to 17 years,#cccc33,2011,5180
5 to 17 years,#cccc33,2012,4604
5 to 17 years,#cccc33,2013,4474
5 to 17 years,#cccc33,2014,3839
5 to 17 years,#cccc33,2015,5834
5 to 17 years,#cccc33,2016,3608
5 to 17 years,#cccc33,2017,4714
5 to 17 years,#cccc33,2018,3965
5 to 17 years,#cccc33,2019,4629
5 to 17 years,#cccc33,2021,5209
18 to 24 years,#cccc33,2011,18128
18 to 24 years,#cccc33,2012,15346
18 to 24 years,#cccc33,2013,14699
18 to 24 years,#cccc33,2014,13324
18 to 24 years,#cccc33,2015,11435
18 to 24 years,#cccc33,2016,10613
18 to 24 years,#cccc33,2017,10371
18 to 24 years,#cccc33,2018,8397
18 to 24 years,#cccc33,2019,8333
18 to 24 years,#cccc33,2021,6945
25 to 34 years,#cccc33,2011,28919
25 to 34 years,#cccc33,2012,29815
25 to 34 years,#cccc33,2013,29825
25 to 34 years,#cccc33,2014,31617
25 to 34 years,#cccc33,2015,26605
25 to 34 years,#cccc33,2016,23772
25 to 34 years,#cccc33,2017,24042
25 to 34 years,#cccc33,2018,20526
25 to 34 years,#cccc33,2019,23378
25 to 34 years,#cccc33,2021,23066
35 to 44 years,#cccc33,2011,35825
35 to 44 years,#cccc33,2012,39462
35 to 44 years,#cccc33,2013,35364
35 to 44 years,#cccc33,2014,37488
35 to 44 years,#cccc33,2015,38507
35 to 44 years,#cccc33,2016,35659
35 to 44 years,#cccc33,2017,40777
35 to 44 years,#cccc33,2018,39416
35 to 44 years,#cccc33,2019,32406
35 to 44 years,#cccc33,2021,42164
45 to 54 years,#cccc33,2011,63881
45 to 54 years,#cccc33,2012,60289
45 to 54 years,#cccc33,2013,58797
45 to 54 years,#cccc33,2014,60072
45 to 54 years,,2015,58810
45 to 54 years,,2016,47969
45 to 54 years,,2017,50912
45 to 54 years,,2018,49682
45 to 54 years,,2019,45368
45 to 54 years,,2021,43652
55 to 64 years,#cccc33,2011,44458
55 to 64 years,,2012,47792
55 to 64 years,,2013,50915
55 to 64 years,,2014,55781
55 to 64 years,,2015,59277
55 to 64 years,,2016,59643
55 to 64 years,,2017,62698
55 to 64 years,,2018,70208
55 to 64 years,,2019,66663
55 to 64 years,,2021,69199
65 to 74 years,#cccc33,2011,11438
65 to 74 years,,2012,13812
65 to 74 years,,2013,12356
65 to 74 years,,2014,15583
65 to 74 years,,2015,23337
65 to 74 years,,2016,21438
65 to 74 years,,2017,28285
65 to 74 years,,2018,29156
65 to 74 years,,2019,36804
65 to 74 years,,2021,45884
75 years and over,#cccc33,2011,7338
75 years and over,,2012,7892
75 years and over,,2013,6604
75 years and over,,2014,7678
75 years and over,,2015,8635
75 years and over,,2016,8915
75 years and over,,2017,13435
75 years and over,,2018,11196
75 years and over,,2019,13425
75 years and over,,2021,11657
