Entity,Type,Year,Population
Total Population,TP,2010,199971
Total Population,TP,2011,215814
Total Population,TP,2012,219231
Total Population,TP,2013,213034
Total Population,TP,2014,225834
Total Population,TP,2015,233373
Total Population,TP,2016,212253
Total Population,TP,2017,235705
Total Population,TP,2018,233248
Total Population,TP,2019,231469
Total Population,TP,2021,248024
Male,M,2010,92587
Male,M,2011,104670
Male,M,2012,105231
Male,M,2013,101617
Male,M,2014,106819
Male,M,2015,110852
Male,M,2016,98061
Male,M,2017,111017
Male,M,2018,111493
Male,M,2019,107170
Male,M,2021,118803
Female,F,2010,107384
Female,F,2011,111144
Female,F,2012,114000
Female,F,2013,111417
Female,F,2014,119015
Female,F,2015,122521
Female,F,2016,114192
Female,F,2017,124688
Female,F,2018,121755
Female,F,2019,124299
Female,F,2021,129221
Under 5 years,Un5,2010,400
Under 5 years,Un5,2011,432
Under 5 years,Un5,2012,0
Under 5 years,Un5,2013,0
Under 5 years,Un5,2014,452
Under 5 years,Un5,2015,933
Under 5 years,Un5,2016,637
Under 5 years,Un5,2017,471
Under 5 years,Un5,2018,700
Under 5 years,Un5,2019,463
Under 5 years,Un5,2021,496
5 to 17 years,I517,2010,5399
5 to 17 years,,2011,5180
5 to 17 years,,2012,4604
5 to 17 years,,2013,4474
5 to 17 years,,2014,3839
5 to 17 years,,2015,5834
5 to 17 years,,2016,3608
5 to 17 years,,2017,4714
5 to 17 years,,2018,3965
5 to 17 years,,2019,4629
5 to 17 years,,2021,5209
18 to 24 years,I1824,2010,15198
18 to 24 years,I1824,2011,18128
18 to 24 years,I1824,2012,15346
18 to 24 years,I1824,2013,14699
18 to 24 years,I1824,2014,13324
18 to 24 years,I1824,2015,11435
18 to 24 years,I1824,2016,10613
18 to 24 years,I1824,2017,10371
18 to 24 years,I1824,2018,8397
18 to 24 years,I1824,2019,8333
18 to 24 years,I1824,2021,6945
25 to 34 years,I2534,2010,30596
25 to 34 years,I2534,2011,28919
25 to 34 years,I2534,2012,29815
25 to 34 years,I2534,2013,29825
25 to 34 years,I2534,2014,31617
25 to 34 years,I2534,2015,26605
25 to 34 years,I2534,2016,23772
25 to 34 years,I2534,2017,24042
25 to 34 years,I2534,2018,20526
25 to 34 years,I2534,2019,23378
25 to 34 years,I2534,2021,23066
35 to 44 years,,2010,42194
35 to 44 years,,2011,35825
35 to 44 years,,2012,39462
35 to 44 years,,2013,35364
35 to 44 years,,2014,37488
35 to 44 years,,2015,38507
35 to 44 years,,2016,35659
35 to 44 years,,2017,40777
35 to 44 years,,2018,39416
35 to 44 years,,2019,32406
35 to 44 years,,2021,42164
45 to 54 years,,2010,58392
45 to 54 years,,2011,63881
45 to 54 years,,2012,60289
45 to 54 years,,2013,58797
45 to 54 years,,2014,60072
45 to 54 years,,2015,58810
45 to 54 years,,2016,47969
45 to 54 years,,2017,50912
45 to 54 years,,2018,49682
45 to 54 years,,2019,45368
45 to 54 years,,2021,43652
55 to 64 years,,2010,33795
55 to 64 years,,2011,44458
55 to 64 years,,2012,47792
55 to 64 years,,2013,50915
55 to 64 years,,2014,55781
55 to 64 years,,2015,59277
55 to 64 years,,2016,59643
55 to 64 years,,2017,62698
55 to 64 years,,2018,70208
55 to 64 years,,2019,66663
55 to 64 years,,2021,69199
65 to 74 years,,2010,9199
65 to 74 years,,2011,11438
65 to 74 years,,2012,13812
65 to 74 years,,2013,12356
65 to 74 years,,2014,15583
65 to 74 years,,2015,23337
65 to 74 years,,2016,21438
65 to 74 years,,2017,28285
65 to 74 years,,2018,29156
65 to 74 years,,2019,36804
65 to 74 years,,2021,45884
75 years and over,,2010,4599
75 years and over,,2011,7338
75 years and over,,2012,7892
75 years and over,,2013,6604
75 years and over,,2014,7678
75 years and over,,2015,8635
75 years and over,,2016,8915
75 years and over,,2017,13435
75 years and over,,2018,11196
75 years and over,,2019,13425
75 years and over,,2021,11657
